timestamp,node_id,fcnt,sf,toa_teorico_ms,rssi,snr,delta_t_ms,observation
2026-05-28T14:27:46.599327735+00:00,1,40,10,616.448,-13,11.0,27401.7,normal
2026-05-28T14:27:55.525317713+00:00,4,33,10,616.448,-24,10.25,8926.0,normal
2026-05-28T14:28:16.926286794+00:00,1,41,10,616.448,-11,8.75,21401.0,normal
2026-05-28T14:28:31.867314022+00:00,4,34,10,616.448,-27,13.25,14941.0,normal
2026-05-28T14:28:47.269648870+00:00,1,42,10,616.448,-12,8.75,15402.3,normal
2026-05-28T14:29:08.195292339+00:00,4,35,10,616.448,-23,10.5,20925.6,normal
2026-05-28T14:29:17.592794898+00:00,1,43,10,616.448,-12,9.25,9397.5,normal
2026-05-28T14:29:44.519328522+00:00,4,36,10,616.448,-27,8.25,26926.5,normal
2026-05-28T14:29:47.928197775+00:00,1,44,10,616.448,-13,9.75,3408.9,normal
2026-05-28T14:30:18.262365075+00:00,1,45,10,616.448,-14,12.75,30334.2,normal
2026-05-28T14:30:20.884217838+00:00,4,37,10,616.448,-23,8.75,2621.9,potencial_colisao
2026-05-28T14:30:48.584071427+00:00,1,46,10,616.448,-15,10.75,27699.9,normal
2026-05-28T14:30:57.191911337+00:00,4,38,10,616.448,-27,7.5,8607.8,normal
2026-05-28T14:31:18.917115976+00:00,1,47,10,616.448,-10,10.25,21725.2,normal
2026-05-28T14:31:33.523423504+00:00,4,39,10,616.448,-27,12.5,14606.3,normal
2026-05-28T14:31:49.261317086+00:00,1,48,10,616.448,-17,13.0,15737.9,normal
2026-05-28T14:32:09.847636168+00:00,4,40,10,616.448,-24,10.0,20586.3,normal
2026-05-28T14:32:19.590725923+00:00,1,49,10,616.448,-15,13.25,9743.1,normal
2026-05-28T14:32:46.192748444+00:00,4,41,10,616.448,-24,10.0,26602.0,normal
2026-05-28T14:32:49.919649190+00:00,1,50,10,616.448,-15,12.25,3726.9,normal
2026-05-28T14:33:20.247681444+00:00,1,51,10,616.448,-12,9.75,30328.0,normal
2026-05-28T14:33:22.507871164+00:00,4,42,10,616.448,-25,8.75,2260.2,potencial_colisao
2026-05-28T14:33:50.582545522+00:00,1,52,10,616.448,-15,10.0,28074.7,normal
2026-05-28T14:33:58.851380069+00:00,4,43,10,616.448,-26,12.5,8268.8,normal
2026-05-28T14:34:20.911832238+00:00,1,53,10,616.448,-12,12.5,22060.5,normal
2026-05-28T14:34:35.170659551+00:00,4,44,10,616.448,-24,8.0,14258.8,normal
2026-05-28T14:34:51.246120141+00:00,1,54,10,616.448,-15,9.75,16075.5,normal
2026-05-28T14:35:11.516373285+00:00,4,45,10,616.448,-24,8.5,20270.3,normal
2026-05-28T14:35:21.582991202+00:00,1,55,10,616.448,-12,10.0,10066.6,normal
2026-05-28T14:35:47.836567922+00:00,4,46,10,616.448,-29,12.5,26253.6,normal
2026-05-28T14:35:51.914249726+00:00,1,56,10,616.448,-11,13.5,4077.7,normal
2026-05-28T14:36:22.263938210+00:00,1,57,10,616.448,-12,9.0,30349.7,normal
2026-05-28T14:36:52.604690518+00:00,1,58,10,616.448,-17,10.25,30340.8,normal
2026-05-28T14:37:01.656979846+00:00,4,48,10,616.448,-29,12.75,9052.3,normal
2026-05-28T14:37:22.926369186+00:00,1,59,10,616.448,-11,8.75,21269.4,normal
2026-05-28T14:37:37.988035085+00:00,4,49,10,616.448,-24,9.5,15061.7,normal
2026-05-28T14:37:53.262774532+00:00,1,60,10,616.448,-13,11.5,15274.7,normal
2026-05-28T14:38:14.315753616+00:00,4,50,10,616.448,-27,10.0,21053.0,normal
2026-05-28T14:38:23.642845149+00:00,1,61,10,616.448,-14,12.5,9327.1,normal
2026-05-28T14:38:50.642170332+00:00,4,51,10,616.448,-24,7.75,26999.3,normal
2026-05-28T14:38:53.905851894+00:00,1,62,10,616.448,-15,12.75,3263.7,normal
2026-05-28T14:39:24.261748167+00:00,1,63,10,616.448,-12,11.5,30355.9,normal
2026-05-28T14:39:26.967688316+00:00,4,52,10,616.448,-27,7.5,2705.9,potencial_colisao
2026-05-28T14:39:54.564471221+00:00,1,64,10,616.448,-16,13.0,27596.8,normal
2026-05-28T14:40:03.296364487+00:00,4,53,10,616.448,-28,12.5,8731.9,normal
2026-05-28T14:40:24.910961749+00:00,1,65,10,616.448,-15,12.25,21614.6,normal
2026-05-28T14:40:39.641993187+00:00,4,54,10,616.448,-27,11.0,14731.0,normal
2026-05-28T14:40:55.237077122+00:00,1,66,10,616.448,-12,10.75,15595.1,normal
2026-05-28T14:41:15.968585658+00:00,4,55,10,616.448,-23,8.0,20731.5,normal
2026-05-28T14:41:25.588852304+00:00,1,67,10,616.448,-9,11.0,9620.3,normal
2026-05-28T14:41:52.291662935+00:00,4,56,10,616.448,-30,12.75,26702.8,normal
2026-05-28T14:41:55.908526817+00:00,1,68,10,616.448,-13,12.0,3616.9,normal
2026-05-28T14:42:26.233967849+00:00,1,69,10,616.448,-15,11.0,30325.4,normal
2026-05-28T14:42:28.622091950+00:00,4,57,10,616.448,-24,10.5,2388.1,potencial_colisao
2026-05-28T14:42:56.593987030+00:00,1,70,10,616.448,-16,12.25,27971.9,normal
2026-05-28T14:43:04.955444123+00:00,4,58,10,616.448,-29,9.25,8361.5,normal
2026-05-28T14:43:26.904997671+00:00,1,71,10,616.448,-12,13.25,21949.6,normal
2026-05-28T14:43:41.289168942+00:00,4,59,10,616.448,-23,9.5,14384.2,normal
2026-05-28T14:43:57.232508126+00:00,1,72,10,616.448,-17,11.75,15943.3,normal
2026-05-28T14:44:17.620061281+00:00,4,60,10,616.448,-27,11.0,20387.6,normal
2026-05-28T14:44:27.562582253+00:00,1,73,10,616.448,-11,10.0,9942.5,normal
2026-05-28T14:44:53.957174836+00:00,4,61,10,616.448,-23,8.0,26394.6,normal
2026-05-28T14:44:57.888322614+00:00,1,74,10,616.448,-13,10.75,3931.1,normal
2026-05-28T14:45:28.224538734+00:00,1,75,10,616.448,-14,12.25,30336.2,normal
2026-05-28T14:45:30.279871300+00:00,4,62,10,616.448,-29,13.0,2055.3,potencial_colisao
2026-05-28T14:45:58.553719675+00:00,1,76,10,616.448,-15,10.5,28273.8,normal
2026-05-28T14:46:06.612275510+00:00,4,63,10,616.448,-22,9.0,8058.6,normal
2026-05-28T14:46:28.894839066+00:00,1,77,10,616.448,-11,11.0,22282.6,normal
2026-05-28T14:46:42.943383157+00:00,4,64,10,616.448,-27,13.0,14048.5,normal
2026-05-28T14:46:59.218878420+00:00,1,78,10,616.448,-15,10.0,16275.5,normal
2026-05-28T14:47:19.282460573+00:00,4,65,10,616.448,-25,13.0,20063.6,normal
2026-05-28T14:47:29.553209146+00:00,1,79,10,616.448,-10,10.0,10270.7,normal
2026-05-28T14:47:55.613043533+00:00,4,66,10,616.448,-28,12.75,26059.8,normal
2026-05-28T14:47:59.893656813+00:00,1,80,10,616.448,-11,11.75,4280.6,normal
2026-05-28T14:48:30.237951989+00:00,1,81,10,616.448,-14,13.0,30344.3,normal
2026-05-28T14:49:00.614804147+00:00,1,82,10,616.448,-17,11.75,30376.9,normal
2026-05-28T14:49:09.432121866+00:00,4,68,10,616.448,-28,11.75,8817.3,normal
2026-05-28T14:49:30.899134111+00:00,1,83,10,616.448,-12,13.25,21467.0,normal
2026-05-28T14:49:45.760004954+00:00,4,69,10,616.448,-22,10.5,14860.9,normal
2026-05-28T14:50:01.235830942+00:00,1,84,10,616.448,-13,10.5,15475.8,normal
2026-05-28T14:50:22.126113788+00:00,4,70,10,616.448,-27,7.0,20890.3,normal
2026-05-28T14:50:31.748382051+00:00,1,85,10,616.448,-11,10.75,9622.3,normal
2026-05-28T14:50:58.404572399+00:00,4,71,10,616.448,-27,13.5,26656.2,normal
2026-05-28T14:51:01.884299353+00:00,1,86,10,616.448,-13,11.75,3479.7,normal
2026-05-28T14:51:32.215261590+00:00,1,87,10,616.448,-12,12.25,30331.0,normal
2026-05-28T14:51:34.730425298+00:00,4,72,10,616.448,-29,12.25,2515.2,potencial_colisao
2026-05-28T14:52:02.549274871+00:00,1,88,10,616.448,-16,12.75,27818.8,normal
