node_id;dev_eui;n_sessions;sf;bw_khz;toa_teorico_ms;transacao_real_avg_ms;tx_total;rx_total;collisions;pdr_%;collision_rate_%;dl_pdr_%;rssi_mean_dBm;snr_mean_dB;link_margin_mean_dB
1;9e70e30d570f93f5;1;10;125.0;616.448;616.0;328;327;1;99.7;0.3;0.0;-12.4;10.8;116.6
4;1573451f0dff21d1;1;10;125.0;616.448;616.0;272;255;17;93.75;6.25;0.0;-26.94;10.65;102.06
