node_id;dev_eui;n_sessions;sf;bw_khz;toa_teorico_ms;transacao_real_avg_ms;tx_total;rx_total;collisions;pdr_%;collision_rate_%;dl_pdr_%;rssi_mean_dBm;snr_mean_dB;link_margin_mean_dB
1;9e70e30d570f93f5;1;7;125.0;97.536;97.0;1398;1347;51;96.35;3.65;0.0;-20.4;9.32;99.6
2;788410651972aca8;1;7;125.0;97.536;97.0;1311;1257;54;95.88;4.12;0.0;-21.88;9.28;98.12
3;dc63358a5a95d62f;1;7;125.0;97.536;97.0;1234;1204;30;97.57;2.43;0.0;-14.69;9.3;105.31
4;1573451f0dff21d1;1;7;125.0;97.536;97.0;1162;1131;31;97.33;2.67;0.0;-12.35;9.27;107.65
