node_id,dev_eui,toa_teorico_ms,duty_cycle_rf_%,ocupacao_no_%,periodo_nominal_s,periodo_real_avg_s,interval_std_s,interval_gateway_avg_s,interval_delta_avg_ms,sr_teorico_ms,sr_avg_ms,sr_std_ms,sr_min_ms,sr_max_ms,sr_elevado_n,sr_elevado_%,link_margin_avg_db,link_margin_min_db,drift_ppm,residual_std_ms
1,9e70e30d570f93f5,97.536,0.7,0.7,14.0,14.0,0.0,14.488,-488.0,1097.5,1406.0,329.5,1323,2902,57,4.62,67.4,58,9.07,64.02
2,788410651972aca8,97.536,0.67,0.67,14.5,14.5,0.0,15.347,-847.0,1097.5,1481.1,458.9,1291,2907,110,9.45,61.1,49,6.91,62.48
3,dc63358a5a95d62f,97.536,0.65,0.65,15.0,15.0,0.0,15.334,-334.0,1097.5,1386.1,282.0,1322,2902,39,3.34,59.9,35,7.44,62.08
4,1573451f0dff21d1,97.536,0.63,0.63,15.5,15.5,0.0,16.173,-673.0,1097.5,1431.6,381.8,1303,2903,70,6.32,61.5,51,6.12,65.02
