node_id,dev_eui,n_sessions,sf,bw_khz,toa_teorico_ms,transacao_real_avg_ms,tx_total,rx_total,collisions,pdr_%,collision_rate_%,dl_pdr_%,rssi_mean_dBm,snr_mean_dB,link_margin_mean_dB
1,9e70e30d570f93f5,1,7,125.0,97.536,97.0,1277,1234,43,96.63,3.37,0.0,-52.55,13.12,67.45
2,788410651972aca8,1,7,125.0,97.536,97.0,1234,1165,68,94.41,5.51,0.0,-58.92,13.03,61.08
3,dc63358a5a95d62f,1,7,125.0,97.536,97.0,1194,1168,26,97.82,2.18,0.0,-60.14,12.92,59.86
4,1573451f0dff21d1,1,7,125.0,97.536,97.0,1156,1108,48,95.85,4.15,0.0,-58.5,13.01,61.5
