timestamp,node_id,fcnt,sf,toa_teorico_ms,rssi,snr,frequency_mhz,delta_t_ms,observation,potential_collision
2026-06-10T02:35:55.861790778+00:00,3,16,7,97.536,-57,14.2,868.1,4747.2,normal,False
2026-06-10T02:36:03.144475385+00:00,1,15,7,97.536,-54,14.2,867.7,7282.7,normal,False
2026-06-10T02:36:03.934158253+00:00,2,16,7,97.536,-59,13.2,867.7,789.7,normal,False
2026-06-10T02:36:06.730363837+00:00,4,17,7,97.536,-58,10.0,867.5,2796.2,normal,False
2026-06-10T02:36:10.864343622+00:00,3,17,7,97.536,-55,14.2,867.3,4134.0,normal,False
2026-06-10T02:36:17.137441707+00:00,1,16,7,97.536,-55,14.0,867.9,6273.1,normal,False
2026-06-10T02:36:18.410660578+00:00,2,17,7,97.536,-59,14.0,868.3,1273.2,normal,False
2026-06-10T02:36:22.103220484+00:00,4,18,7,97.536,-59,13.5,867.9,3692.6,normal,False
2026-06-10T02:36:25.865547152+00:00,3,18,7,97.536,-63,14.0,867.3,3762.3,normal,False
2026-06-10T02:36:31.143745594+00:00,1,17,7,97.536,-54,14.2,868.1,5278.2,normal,False
2026-06-10T02:36:32.923661626+00:00,2,18,7,97.536,-58,13.8,868.1,1779.9,normal,False
2026-06-10T02:36:37.653120789+00:00,4,19,7,97.536,-58,14.5,867.9,4729.5,normal,False
2026-06-10T02:36:40.864630304+00:00,3,19,7,97.536,-62,11.5,868.5,3211.5,normal,False
2026-06-10T02:36:45.136215260+00:00,1,18,7,97.536,-53,13.2,867.3,4271.6,normal,False
2026-06-10T02:36:47.424772467+00:00,2,19,7,97.536,-59,11.2,867.5,2288.6,normal,False
2026-06-10T02:36:53.115850194+00:00,4,20,7,97.536,-57,13.8,868.3,5691.1,normal,False
2026-06-10T02:36:55.868483203+00:00,3,20,7,97.536,-63,9.8,867.5,2752.6,normal,False
2026-06-10T02:36:59.153969486+00:00,1,19,7,97.536,-54,9.5,868.5,3285.5,normal,False
2026-06-10T02:37:02.024290749+00:00,2,20,7,97.536,-58,13.8,868.3,2870.3,normal,False
2026-06-10T02:37:08.785057192+00:00,4,21,7,97.536,-58,14.2,867.9,6760.8,normal,False
2026-06-10T02:37:10.872021379+00:00,3,21,7,97.536,-63,14.2,868.3,2087.0,normal,False
2026-06-10T02:37:13.134799130+00:00,1,20,7,97.536,-58,13.8,867.9,2262.8,normal,False
2026-06-10T02:37:16.431916003+00:00,2,21,7,97.536,-57,13.8,868.1,3297.1,normal,False
2026-06-10T02:37:24.132287889+00:00,4,22,7,97.536,-57,10.2,867.5,7700.4,normal,False
2026-06-10T02:37:25.852759835+00:00,3,22,7,97.536,-58,10.5,868.5,1720.5,normal,False
2026-06-10T02:37:27.133970281+00:00,1,21,7,97.536,-54,14.0,867.3,1281.2,normal,False
2026-06-10T02:37:30.930999183+00:00,2,22,7,97.536,-59,11.2,867.5,3797.0,normal,False
2026-06-10T02:37:39.710787086+00:00,4,23,7,97.536,-57,10.5,868.5,8779.8,normal,False
2026-06-10T02:37:40.867281383+00:00,3,23,7,97.536,-61,13.5,867.9,1156.5,normal,False
2026-06-10T02:37:41.146133162+00:00,1,22,7,97.536,-54,14.0,867.7,278.9,normal,False
2026-06-10T02:37:45.441337972+00:00,2,23,7,97.536,-59,14.2,867.9,4295.2,normal,False
2026-06-10T02:37:55.267508511+00:00,4,24,7,97.536,-57,9.2,867.5,9826.2,normal,False
2026-06-10T02:37:55.277704719+00:00,1,23,7,97.536,-54,9.8,868.5,10.2,normal,False
2026-06-10T02:37:55.854378160+00:00,3,24,7,97.536,-63,9.8,867.5,576.7,normal,False
2026-06-10T02:37:59.972618788+00:00,2,24,7,97.536,-58,14.5,867.1,4118.2,normal,False
2026-06-10T02:38:09.187247293+00:00,1,24,7,97.536,-54,9.2,867.5,9214.6,normal,False
2026-06-10T02:38:10.604883442+00:00,4,25,7,97.536,-57,14.0,867.1,1417.6,normal,False
2026-06-10T02:38:10.850452839+00:00,3,25,7,97.536,-59,10.0,867.5,245.6,normal,False
2026-06-10T02:38:14.526559384+00:00,2,25,7,97.536,-59,13.8,868.3,3676.1,normal,False
2026-06-10T02:38:23.144904692+00:00,1,25,7,97.536,-54,14.0,867.7,8618.3,normal,False
2026-06-10T02:38:25.990641980+00:00,3,26,7,97.536,-58,13.8,867.3,2845.7,normal,False
2026-06-10T02:38:26.115455318+00:00,4,26,7,97.536,-57,14.2,867.1,124.8,normal,False
2026-06-10T02:38:29.061416976+00:00,2,26,7,97.536,-57,13.5,867.7,2946.0,normal,False
2026-06-10T02:38:37.135788365+00:00,1,26,7,97.536,-52,13.5,867.1,8074.4,normal,False
2026-06-10T02:38:40.932333143+00:00,3,27,7,97.536,-61,13.5,867.9,3796.5,normal,False
2026-06-10T02:38:41.612506467+00:00,4,27,7,97.536,-57,14.2,868.3,680.2,normal,False
2026-06-10T02:38:43.430858138+00:00,2,27,7,97.536,-60,13.8,868.1,1818.4,normal,False
2026-06-10T02:38:51.172826075+00:00,1,27,7,97.536,-55,14.2,867.9,7742.0,normal,False
2026-06-10T02:38:55.897704458+00:00,3,28,7,97.536,-59,14.0,867.1,4724.9,normal,False
2026-06-10T02:38:57.115560725+00:00,4,28,7,97.536,-58,14.2,867.7,1217.9,normal,False
2026-06-10T02:38:57.929220915+00:00,2,28,7,97.536,-59,13.8,868.3,813.7,normal,False
2026-06-10T02:39:05.307563984+00:00,1,28,7,97.536,-54,13.5,867.1,7378.3,normal,False
2026-06-10T02:39:10.870081531+00:00,3,29,7,97.536,-58,14.0,867.9,5562.5,normal,False
2026-06-10T02:39:12.412822142+00:00,2,29,7,97.536,-60,13.5,867.7,1542.7,normal,False
2026-06-10T02:39:12.609825002+00:00,4,29,7,97.536,-57,13.8,867.1,197.0,normal,False
2026-06-10T02:39:19.146364644+00:00,1,29,7,97.536,-55,14.2,867.9,6536.5,normal,False
2026-06-10T02:39:26.003724433+00:00,3,30,7,97.536,-58,9.2,867.5,6857.4,normal,False
2026-06-10T02:39:28.123304144+00:00,4,30,7,97.536,-57,14.2,868.1,2119.6,normal,False
2026-06-10T02:39:33.166716972+00:00,1,30,7,97.536,-51,11.8,867.5,5043.4,normal,False
2026-06-10T02:39:40.955603798+00:00,3,31,7,97.536,-56,14.0,868.1,7788.9,normal,False
2026-06-10T02:39:41.414550146+00:00,2,31,7,97.536,-61,11.8,867.5,458.9,normal,False
2026-06-10T02:39:43.618411271+00:00,4,31,7,97.536,-55,13.5,868.1,2203.9,normal,False
2026-06-10T02:39:47.152704074+00:00,1,31,7,97.536,-53,13.5,868.1,3534.3,normal,False
2026-06-10T02:39:55.908599482+00:00,3,32,7,97.536,-61,11.5,867.5,8755.9,normal,False
2026-06-10T02:39:55.928683681+00:00,2,32,7,97.536,-60,13.5,868.1,20.1,normal,False
2026-06-10T02:40:01.225987335+00:00,1,32,7,97.536,-53,13.5,867.1,5297.3,normal,False
2026-06-10T02:40:10.419727131+00:00,2,33,7,97.536,-60,13.8,867.9,9193.7,normal,False
2026-06-10T02:40:10.872468030+00:00,3,33,7,97.536,-58,13.2,867.7,452.7,normal,False
2026-06-10T02:40:14.612125502+00:00,4,33,7,97.536,-56,13.5,867.3,3739.7,normal,False
2026-06-10T02:40:15.142928139+00:00,1,33,7,97.536,-53,11.2,868.5,530.8,normal,False
2026-06-10T02:40:24.933168207+00:00,2,34,7,97.536,-59,13.2,867.7,9790.2,normal,False
2026-06-10T02:40:25.859734416+00:00,3,34,7,97.536,-59,13.8,868.3,926.6,normal,False
2026-06-10T02:40:29.277335455+00:00,1,34,7,97.536,-54,13.8,867.9,3417.6,normal,False
2026-06-10T02:40:30.114977525+00:00,4,34,7,97.536,-56,14.5,867.1,837.6,normal,False
2026-06-10T02:40:39.435061680+00:00,2,35,7,97.536,-59,13.8,867.3,9320.1,normal,False
2026-06-10T02:40:40.877060357+00:00,3,35,7,97.536,-59,13.8,867.7,1442.0,normal,False
2026-06-10T02:40:43.140842699+00:00,1,35,7,97.536,-54,13.8,868.3,2263.8,normal,False
2026-06-10T02:40:45.621947694+00:00,4,35,7,97.536,-56,14.0,867.1,2481.1,normal,False
2026-06-10T02:40:54.074996396+00:00,2,36,7,97.536,-60,10.8,867.9,8453.0,normal,False
2026-06-10T02:40:55.863301621+00:00,3,36,7,97.536,-59,13.8,867.1,1788.3,normal,False
2026-06-10T02:40:57.133634601+00:00,1,36,7,97.536,-53,13.8,867.1,1270.3,normal,False
2026-06-10T02:41:01.120315074+00:00,4,36,7,97.536,-56,11.8,868.5,3986.7,normal,False
2026-06-10T02:41:08.608944593+00:00,2,37,7,97.536,-59,13.8,867.3,7488.6,normal,False
2026-06-10T02:41:10.871888029+00:00,3,37,7,97.536,-59,9.8,868.5,2262.9,normal,False
