Time (s),USB Avg Current (mA)
1995.9210,28.609
1995.9212,29.79
1995.9214,28.611
1995.9216,28.813
1995.9218,29.142
1995.9220,28.629
1995.9222,29.892
1995.9224,28.685
1995.9226,28.836
1995.9228,29.13
1995.9230,28.66
1995.9232,29.862
1995.9234,28.621
1995.9236,28.923
1995.9238,29.117
1995.9240,28.63
1995.9242,29.853
1995.9244,28.606
1995.9246,28.909
1995.9248,29.122
1995.9250,28.618
1995.9252,29.851
1995.9254,28.606
1995.9256,28.955
1995.9258,29.141
1995.9260,28.67
1995.9262,29.971
1995.9264,28.697
1995.9266,28.937
1995.9268,29.085
1995.9270,28.618
1995.9272,29.832
1995.9274,28.473
1995.9276,28.978
1995.9278,29.043
1995.9280,28.695
1995.9282,29.836
1995.9284,28.677
1995.9286,28.899
1995.9288,29.082
1995.9290,28.668
1995.9292,29.886
1995.9294,28.608
1995.9296,28.997
1995.9298,29.035
1995.9300,28.692
1995.9302,29.789
1995.9304,28.731
1995.9306,28.951
1995.9308,29.005
1995.9310,28.733
1995.9312,29.839
1995.9314,28.671
1995.9316,28.984
1995.9318,28.934
1995.9320,28.603
1995.9322,29.878
1995.9324,28.733
1995.9326,29.004
1995.9328,29.045
1995.9330,28.701
1995.9332,29.881
1995.9334,28.671
1995.9336,29.043
1995.9338,28.959
1995.9340,28.776
1995.9342,29.875
1995.9344,28.712
1995.9346,29.031
1995.9348,29.025
1995.9350,28.68
1995.9352,29.858
1995.9354,28.73
1995.9356,29.079
1995.9358,28.961
1995.9360,28.59
1995.9362,29.86
1995.9364,28.584
1995.9366,29.088
1995.9368,28.885
1995.9370,28.567
1995.9372,29.835
1995.9374,28.686
1995.9376,29.082
1995.9378,28.909
1995.9380,28.656
1995.9382,29.86
1995.9384,28.629
1995.9386,29.145
1995.9388,28.932
1995.9390,28.753
1995.9392,29.823
1995.9394,28.707
1995.9396,29.136
1995.9398,28.871
1995.9400,28.671
1995.9402,29.842
1995.9404,28.587
1995.9406,29.158
1995.9408,28.919
1995.9410,28.737
1995.9412,29.802
1995.9414,28.725
1995.9416,29.165
1995.9418,28.945
1995.9420,28.725
1995.9422,29.815
1995.9424,28.685
1995.9426,29.204
1995.9428,28.866
1995.9430,28.782
1995.9432,29.832
1995.9434,28.587
1995.9436,29.196
1995.9438,28.869
1995.9440,28.723
1995.9442,29.773
1995.9444,28.646
1995.9446,29.182
1995.9448,28.849
1995.9450,28.7
1995.9452,29.787
1995.9454,28.634
1995.9456,29.234
1995.9458,28.737
1995.9460,28.686
1995.9462,29.892
1995.9464,28.587
1995.9466,29.187
1995.9468,28.863
1995.9470,28.67
1995.9472,29.878
1995.9474,28.629
1995.9476,29.189
1995.9478,28.816
1995.9480,28.612
1995.9482,29.909
1995.9484,28.654
1995.9486,29.187
1995.9488,28.901
1995.9490,28.68
1995.9492,29.889
1995.9494,28.66
1995.9496,29.187
1995.9498,28.801
1995.9500,29.893
1995.9502,28.695
1995.9504,29.173
1995.9506,28.815
1995.9508,28.633
1995.9510,29.859
1995.9512,28.72
1995.9514,29.34
1995.9516,28.761
1995.9518,28.697
1995.9520,29.78
1995.9522,28.708
1995.9524,29.33
1995.9526,28.882
1995.9528,28.577
1995.9530,29.99
1995.9532,28.669
