node_id,dev_eui,toa_teo_acumulado_s,duracao_sessao_s,utilizacao_canal_%,duty_cycle_rf_medio_%,limite_legal_%,compliance
1,9e70e30d570f93f5,72.7,4242.5,1.71,2.2,1.0,FAIL
4,1573451f0dff21d1,64.1,4242.5,1.51,1.81,1.0,FAIL
