timestamp,node_atual,fcnt_atual,node_anterior,fcnt_anterior,overlap_s,sf_atual,sf_anterior
2026-05-28T10:14:35.796625962+00:00,4,53,1,77,0.461,10,10
2026-05-28T10:24:26.502530132+00:00,1,4,4,69,0.349,10,10
2026-05-28T10:27:30.180891943+00:00,4,74,1,10,0.383,10,10
