parameter,value
session_start,2026-05-28 10:01:48
session_end,2026-05-28 10:10:15
duration_min,8.4
""
n_nodes,1
nodes,No 1
n_rejoins,1
""
toa_teorico_avg_ms,616.45
G_calc_method,tx_attempt_count (directo)
traffic_load_G_real,0.0231
P_collision_theory_%,4.52
utilizacao_canal_total_%,2.31
""
total_tx,19
total_rx,19
total_lost,0
pdr_uplink_%,100.0
""
collisions_fcnt_gap,0
collision_fcnt_rate_%,0.0
collisions_temporal,0
collision_temporal_rate_%,0.0
pdr_plus_collision_%,100.0
""
rssi_mean_dBm,-38.95
snr_mean_dB,11.5
link_margin_mean_dB,90.05
