node_id,dev_eui,toa_teorico_ms,transacao_real_avg_ms,transacao_real_min_ms,transacao_real_max_ms,overhead_factor,duty_cycle_rf_%,ocupacao_no_%,periodo_nominal_s,periodo_real_avg_s,desvio_periodo_ms,jitter_std_ms,retries_total,retries_rate_%,link_margin_avg_db,link_margin_min_db
1,9e70e30d570f93f5,616.448,1051.8,616,2301,1.71,2.2,3.45,28,30.47,2470.0,592.3,0,0.0,86.4,36
4,1573451f0dff21d1,616.448,1161.1,616,2301,1.88,1.81,3.17,34,36.68,2680.0,557.8,0,0.0,83.8,34
