node_id,dev_eui,toa_teo_acumulado_s,duracao_sessao_s,utilizacao_canal_%,duty_cycle_rf_medio_%,limite_legal_%,compliance
1,9e70e30d570f93f5,105.6,6626.0,1.59,2.03,1.0,FAIL
2,788410651972aca8,109.8,6626.0,1.66,1.88,1.0,FAIL
3,dc63358a5a95d62f,105.9,6626.0,1.6,1.74,1.0,FAIL
4,1573451f0dff21d1,94.8,6626.0,1.43,1.63,1.0,FAIL
