node_id;dev_eui;n_samples;offset_base_ms;offset_mean_ms;offset_std_ms;residual_std_ms;drift_ppm;drift_ms_per_hour
1;9e70e30d570f93f5;1316;1780986626364.2;1780986626357.6;39.57;36.36;9.4;33.83
2;788410651972aca8;1260;1780986614494.6;1780986614489.0;33.71;31.1;7.84;28.22
3;dc63358a5a95d62f;1236;1780986600788.3;1780986600782.3;36.15;33.35;8.41;30.28
4;1573451f0dff21d1;1129;1780986589583.5;1780986589579.1;38.57;36.99;6.54;23.55
