timestamp,node_id,session_id,f_cnt,collisions_detected
2026-06-09T06:30:18.769900352+00:00,4,1,4,1
2026-06-09T06:30:23.068488669+00:00,3,1,3,1
2026-06-09T06:30:32.970524923+00:00,3,1,6,1
2026-06-09T06:30:32.981989550+00:00,4,1,8,1
2026-06-09T06:30:42.115299180+00:00,1,1,2,1
2026-06-09T06:30:42.750543581+00:00,2,1,5,1
2026-06-09T06:30:42.881224930+00:00,3,1,9,1
2026-06-09T06:30:43.627654282+00:00,4,1,11,1
2026-06-09T06:30:50.731036842+00:00,4,1,13,1
2026-06-09T06:30:51.943420523+00:00,2,1,8,1
2026-06-09T06:30:53.614932965+00:00,1,1,6,1
2026-06-09T06:30:59.380663210+00:00,3,1,14,1
2026-06-09T06:31:02.321328020+00:00,1,1,9,1
2026-06-09T06:31:09.275340783+00:00,3,1,17,1
2026-06-09T06:31:22.224321643+00:00,1,1,16,1
2026-06-09T06:31:22.488542486+00:00,3,1,21,1
2026-06-09T06:31:22.544422958+00:00,2,1,18,1
2026-06-09T06:31:22.713608036+00:00,4,1,22,1
2026-06-09T06:31:28.296144842+00:00,1,1,18,1
2026-06-09T06:31:28.729011291+00:00,2,1,20,1
2026-06-09T06:31:29.088669968+00:00,3,1,23,1
2026-06-09T06:31:33.343652399+00:00,4,1,25,2
2026-06-09T06:31:41.018819657+00:00,2,1,24,2
2026-06-09T06:31:43.989495445+00:00,4,1,28,1
2026-06-09T06:31:45.228927837+00:00,1,1,24,1
2026-06-09T06:31:50.270814979+00:00,2,1,27,1
2026-06-09T06:31:51.092116795+00:00,4,1,30,1
2026-06-09T06:31:55.533671332+00:00,3,1,31,1
2026-06-09T06:31:56.424306165+00:00,2,1,29,1
2026-06-09T06:31:57.326287609+00:00,1,1,28,1
2026-06-09T06:31:58.193509731+00:00,4,1,32,1
2026-06-09T06:32:06.020934774+00:00,1,1,31,1
2026-06-09T06:32:11.724242007+00:00,2,1,34,1
2026-06-09T06:32:11.920242452+00:00,1,1,33,1
2026-06-09T06:32:11.989017512+00:00,3,1,36,1
2026-06-09T06:32:12.403787436+00:00,4,1,36,1
2026-06-09T06:32:17.829718896+00:00,1,1,35,1
2026-06-09T06:32:17.879064631+00:00,2,1,36,1
2026-06-09T06:32:18.594194907+00:00,3,1,38,1
2026-06-09T06:32:23.746794773+00:00,1,1,37,1
2026-06-09T06:32:24.055555686+00:00,2,1,38,1
2026-06-09T06:32:26.682270165+00:00,4,1,40,1
2026-06-09T06:32:28.495163581+00:00,3,1,41,1
2026-06-09T06:32:32.437754583+00:00,1,1,40,1
2026-06-09T06:32:33.267163251+00:00,2,1,41,1
2026-06-09T06:32:33.698849502+00:00,4,1,42,1
2026-06-09T06:32:39.418553215+00:00,2,1,43,1
2026-06-09T06:32:41.692386735+00:00,3,1,45,1
2026-06-09T06:32:47.027814175+00:00,1,1,45,1
2026-06-09T06:32:47.909030768+00:00,4,1,46,1
2026-06-09T06:32:55.774855796+00:00,1,1,48,1
2026-06-09T06:32:57.880186454+00:00,2,1,49,1
2026-06-09T06:32:58.192570076+00:00,3,1,50,1
2026-06-09T06:32:58.562061208+00:00,4,1,49,1
2026-06-09T06:33:04.017182997+00:00,2,1,51,1
2026-06-09T06:33:04.430249487+00:00,1,1,51,1
2026-06-09T06:33:04.804866322+00:00,3,1,52,1
2026-06-09T06:33:05.662806410+00:00,4,1,51,1
2026-06-09T06:33:11.402997861+00:00,3,1,54,1
2026-06-09T06:33:15.935051904+00:00,1,1,55,1
2026-06-09T06:33:16.308032986+00:00,4,1,54,1
2026-06-09T06:33:16.322781102+00:00,2,1,55,1
2026-06-09T06:33:21.835486582+00:00,1,1,57,1
2026-06-09T06:33:22.497778720+00:00,2,1,57,1
2026-06-09T06:33:23.409144190+00:00,4,1,56,1
2026-06-09T06:33:30.512132859+00:00,4,1,58,1
2026-06-09T06:33:30.830951221+00:00,1,1,60,1
2026-06-09T06:33:31.202767581+00:00,3,1,60,1
2026-06-09T06:33:37.862050125+00:00,2,1,62,1
2026-06-09T06:33:44.034954837+00:00,2,1,64,1
2026-06-09T06:33:44.406565330+00:00,3,1,64,1
2026-06-09T06:33:44.715876722+00:00,4,1,62,2
2026-06-09T06:33:51.330636606+00:00,1,1,67,2
2026-06-09T06:33:51.810696577+00:00,4,1,64,1
2026-06-09T06:33:57.613525196+00:00,3,1,68,1
2026-06-09T06:34:04.213014766+00:00,3,1,70,1
2026-06-09T06:34:08.497819142+00:00,2,1,72,1
2026-06-09T06:34:08.729922764+00:00,1,1,73,1
2026-06-09T06:34:13.115411070+00:00,4,1,70,2
2026-06-09T06:34:14.333585462+00:00,1,1,75,1
2026-06-09T06:34:17.428709609+00:00,3,1,74,1
2026-06-09T06:34:26.884381480+00:00,2,1,78,2
2026-06-09T06:34:27.339466564+00:00,4,1,74,1
2026-06-09T06:34:31.440143204+00:00,1,1,81,1
2026-06-09T06:34:33.043821910+00:00,2,1,80,1
2026-06-09T06:34:33.922930478+00:00,3,1,79,1
2026-06-09T06:34:34.418770296+00:00,4,1,76,1
2026-06-09T06:34:40.523039212+00:00,3,1,81,1
2026-06-09T06:34:42.237823453+00:00,2,1,83,1
2026-06-09T06:34:45.070847841+00:00,4,1,79,1
2026-06-09T06:34:47.120829154+00:00,3,1,83,1
2026-06-09T06:34:51.337413104+00:00,1,1,88,1
2026-06-09T06:34:57.023498835+00:00,3,1,86,1
2026-06-09T06:34:57.243772911+00:00,1,1,90,1
2026-06-09T06:34:57.585436294+00:00,2,1,88,1
2026-06-09T06:35:03.627025730+00:00,3,1,88,1
2026-06-09T06:35:09.035355020+00:00,1,1,94,1
2026-06-09T06:35:09.926558953+00:00,4,1,86,1
2026-06-09T06:35:16.836567689+00:00,3,1,92,1
2026-06-09T06:35:17.024248189+00:00,4,1,88,1
2026-06-09T06:35:19.092242489+00:00,2,1,95,2
2026-06-09T06:35:26.434228440+00:00,1,1,100,1
2026-06-09T06:35:26.735305106+00:00,3,1,95,2
2026-06-09T06:35:27.681139091+00:00,4,1,91,1
2026-06-09T06:35:37.525285457+00:00,2,1,101,1
2026-06-09T06:35:37.958473997+00:00,1,1,104,1
2026-06-09T06:35:38.331039947+00:00,4,1,94,1
2026-06-09T06:35:45.434188375+00:00,4,1,96,1
2026-06-09T06:35:49.445489604+00:00,1,1,108,1
2026-06-09T06:35:49.831049142+00:00,2,1,105,1
2026-06-09T06:35:49.839953066+00:00,3,1,102,1
2026-06-09T06:35:55.353337093+00:00,1,1,110,1
2026-06-09T06:35:56.089814214+00:00,4,1,99,1
2026-06-09T06:35:59.073890249+00:00,2,1,108,2
2026-06-09T06:35:59.737695383+00:00,3,1,105,2
2026-06-09T06:36:05.226409632+00:00,2,1,110,1
2026-06-09T06:36:06.733547818+00:00,4,1,102,1
2026-06-09T06:36:09.643489633+00:00,3,1,108,2
2026-06-09T06:36:14.506958873+00:00,2,1,113,2
2026-06-09T06:36:20.934268066+00:00,4,1,106,2
2026-06-09T06:36:21.737133621+00:00,1,1,119,2
2026-06-09T06:36:23.701498847+00:00,2,1,116,1
2026-06-09T06:36:26.145454383+00:00,3,1,113,1
2026-06-09T06:36:31.014041953+00:00,1,1,122,2
2026-06-09T06:36:36.046918606+00:00,3,1,116,1
2026-06-09T06:36:45.123466094+00:00,2,1,123,1
2026-06-09T06:36:45.609221605+00:00,1,1,127,1
2026-06-09T06:36:45.791459767+00:00,4,1,113,1
2026-06-09T06:36:45.950975216+00:00,3,1,119,1
2026-06-09T06:36:52.552649389+00:00,3,1,121,1
2026-06-09T06:36:52.891056965+00:00,4,1,115,1
2026-06-09T06:36:54.313237618+00:00,1,1,130,1
2026-06-09T06:36:59.990719195+00:00,4,1,117,1
2026-06-09T06:37:00.414651737+00:00,2,1,128,1
2026-06-09T06:37:00.496247655+00:00,1,1,132,1
2026-06-09T06:37:06.563626086+00:00,2,1,130,1
2026-06-09T06:37:06.678473481+00:00,1,1,134,1
2026-06-09T06:37:07.094005101+00:00,4,1,119,1
2026-06-09T06:37:14.196804832+00:00,4,1,121,1
2026-06-09T06:37:15.390411007+00:00,1,1,137,1
2026-06-09T06:37:21.430483719+00:00,1,1,139,1
2026-06-09T06:37:21.490401052+00:00,4,1,123,1
2026-06-09T06:37:21.940584105+00:00,2,1,135,1
2026-06-09T06:37:22.257445929+00:00,3,1,130,1
2026-06-09T06:37:27.190279323+00:00,1,1,141,1
2026-06-09T06:37:28.068917563+00:00,2,1,137,1
2026-06-09T06:37:28.400849139+00:00,4,1,125,1
2026-06-09T06:37:35.465263027+00:00,3,1,134,1
2026-06-09T06:37:36.187760874+00:00,1,1,144,2
2026-06-09T06:37:39.044860725+00:00,4,1,128,1
2026-06-09T06:37:40.319471707+00:00,2,1,141,1
2026-06-09T06:37:44.886844637+00:00,1,1,147,1
2026-06-09T06:37:45.363016567+00:00,3,1,137,1
2026-06-09T06:37:46.151011836+00:00,4,1,130,1
2026-06-09T06:37:49.562172027+00:00,2,1,144,1
2026-06-09T06:37:53.254582706+00:00,4,1,132,1
2026-06-09T06:37:58.763198313+00:00,2,1,147,1
2026-06-09T06:37:59.488481789+00:00,1,1,152,1
2026-06-09T06:38:00.353622747+00:00,4,1,134,1
2026-06-09T06:38:07.661597896+00:00,4,1,136,1
2026-06-09T06:38:07.973041529+00:00,2,1,150,1
2026-06-09T06:38:08.195942555+00:00,1,1,155,1
2026-06-09T06:38:11.778357886+00:00,3,1,145,2
2026-06-09T06:38:16.892320927+00:00,1,1,158,1
2026-06-09T06:38:17.214721956+00:00,2,1,153,1
2026-06-09T06:38:18.107652398+00:00,4,1,139,1
2026-06-09T06:38:28.278120186+00:00,3,1,150,1
2026-06-09T06:38:28.398650670+00:00,1,1,162,1
2026-06-09T06:38:28.754724153+00:00,4,1,142,1
2026-06-09T06:38:32.569430277+00:00,2,1,158,1
2026-06-09T06:38:35.856417075+00:00,4,1,144,1
2026-06-09T06:38:39.895556321+00:00,1,1,166,1
2026-06-09T06:38:50.059636976+00:00,4,1,148,1
2026-06-09T06:38:50.927196222+00:00,2,1,164,1
2026-06-09T06:38:51.384705007+00:00,3,1,157,1
2026-06-09T06:38:51.407879974+00:00,1,1,170,1
2026-06-09T06:38:57.630825529+00:00,1,1,172,1
2026-06-09T06:38:57.988217891+00:00,3,1,159,1
2026-06-09T06:39:00.186012947+00:00,2,1,167,2
2026-06-09T06:39:00.711527478+00:00,4,1,151,2
2026-06-09T06:39:04.576688208+00:00,3,1,161,1
2026-06-09T06:39:07.877533569+00:00,4,1,153,1
2026-06-09T06:39:09.085227312+00:00,1,1,176,1
2026-06-09T06:39:09.429167811+00:00,2,1,170,1
2026-06-09T06:39:14.490731025+00:00,3,1,164,1
2026-06-09T06:39:14.910923806+00:00,4,1,155,1
2026-06-09T06:39:21.083394873+00:00,3,1,166,1
2026-06-09T06:39:21.175372250+00:00,1,1,180,1
2026-06-09T06:39:21.749023917+00:00,2,1,174,2
2026-06-09T06:39:22.016336227+00:00,4,1,157,1
2026-06-09T06:39:27.364120003+00:00,1,1,182,1
2026-06-09T06:39:27.684902275+00:00,3,1,168,1
2026-06-09T06:39:27.905773839+00:00,2,1,176,1
2026-06-09T06:39:36.361676685+00:00,1,1,185,2
2026-06-09T06:39:37.110634409+00:00,2,1,179,1
2026-06-09T06:39:37.588840268+00:00,3,1,171,1
2026-06-09T06:39:43.255573146+00:00,2,1,181,1
2026-06-09T06:39:44.197803118+00:00,3,1,173,1
2026-06-09T06:39:49.407648274+00:00,2,1,183,1
2026-06-09T06:39:53.971605342+00:00,4,1,166,2
2026-06-09T06:40:00.714585264+00:00,3,1,178,1
2026-06-09T06:40:01.675640077+00:00,2,1,187,1
2026-06-09T06:40:05.020206500+00:00,1,1,195,1
2026-06-09T06:40:10.594968806+00:00,3,1,181,1
2026-06-09T06:40:10.866129793+00:00,1,1,197,1
2026-06-09T06:40:10.908230073+00:00,2,1,190,1
2026-06-09T06:40:15.454270058+00:00,4,1,172,2
2026-06-09T06:40:16.765696130+00:00,1,1,199,1
2026-06-09T06:40:17.208262773+00:00,3,1,183,1
2026-06-09T06:40:20.183968328+00:00,2,1,193,2
2026-06-09T06:40:29.393702040+00:00,2,1,196,1
2026-06-09T06:40:29.473320708+00:00,4,1,176,1
2026-06-09T06:40:31.368044060+00:00,1,1,204,2
2026-06-09T06:40:33.712608542+00:00,3,1,188,1
2026-06-09T06:40:36.579452708+00:00,4,1,178,1
2026-06-09T06:40:38.633918357+00:00,2,1,199,2
2026-06-09T06:40:46.920082560+00:00,3,1,192,1
2026-06-09T06:40:47.239491107+00:00,4,1,181,1
