node_id,dev_eui,n_sessions,sf,bw_khz,toa_teorico_ms,transacao_real_avg_ms,tx_total,rx_total,collisions,pdr_%,collision_rate_%,dl_pdr_%,rssi_mean_dBm,snr_mean_dB,link_margin_mean_dB
1,9e70e30d570f93f5,1,7,125.0,97.536,97.0,1955,1316,639,67.31,32.69,0.0,-56.86,13.07,63.14
2,788410651972aca8,1,7,125.0,97.536,97.0,1866,1260,606,67.52,32.48,0.0,-55.31,12.79,64.69
3,dc63358a5a95d62f,1,7,125.0,97.536,97.0,1741,1236,505,70.99,29.01,0.0,-41.39,13.06,78.61
4,1573451f0dff21d1,1,7,125.0,97.536,97.0,1620,1129,491,69.69,30.31,0.0,-54.76,12.86,65.24
