parameter;value
session_start;03/06/2026 07:54
session_end;03/06/2026 09:28
duration_min;93.7
;
n_nodes;4
nodes;No 1, No 2, No 3, No 4
n_rejoins;4
;
toa_teorico_avg_ms;97.54
G_calc_method;tx_attempt_count (directo)
traffic_load_G_real;0.0719
P_collision_theory_%;13.4
utilizacao_canal_total_%;6.14
;
S_observado;0.0527
S_pure_aloha_teoria;0.0623
;
total_tx;4145
total_rx;3538
total_lost;607
pdr_uplink_%;85.36
;
collision_rate_fcnt_%;14.64
collisions_fcnt_gap;607
collision_rate_temporal_%;0.37
collisions_temporal;13
pdr_canal_%;99.63
pdr_plus_collision_%;100.0
;
rssi_mean_dBm;-48.37
snr_mean_dB;12.94
link_margin_mean_dB;71.63
