node_id,dev_eui,n_samples,offset_base_ms,offset_mean_ms,offset_std_ms,residual_std_ms,drift_ppm,drift_ms_per_hour
1,9e70e30d570f93f5,959,1780469716686.6,1780469716724.3,362.95,354.88,-47.12,-169.63
2,788410651972aca8,922,1780469705477.5,1780469705511.8,346.98,339.73,-44.16,-158.99
3,dc63358a5a95d62f,840,1780469695295.8,1780469695327.8,338.1,330.63,-44.26,-159.34
4,1573451f0dff21d1,817,1780469685541.8,1780469685580.2,355.26,345.97,-49.57,-178.46
