parameter,value
session_start,2026-06-03 09:33:59
session_end,2026-06-03 15:36:21
duration_min,362.4

n_nodes,4
"nodes,""No 1, No 2, No 3, No 4"""
n_rejoins,4

toa_teorico_avg_ms,97.54
G_calc_method,tx_attempt_count (directo)
traffic_load_G_real,0.0241
P_collision_theory_%,4.71
utilizacao_canal_total_%,2.29

S_observado,0.0219
S_pure_aloha_teoria,0.023

total_tx,5372
total_rx,5113
total_lost,259
pdr_uplink_%,95.18

collision_rate_fcnt_%,4.82
collisions_fcnt_gap,259
collision_rate_temporal_%,0.14
collisions_temporal,7
pdr_canal_%,99.86
pdr_plus_collision_%,100.0

rssi_mean_dBm,-51.54
snr_mean_dB,13.06
link_margin_mean_dB,68.46
