timestamp,node_atual,fcnt_atual,node_anterior,fcnt_anterior,overlap_s,sf_atual,sf_anterior,freq_atual_mhz,freq_anterior_mhz,canal_confirmado
2026-06-03T09:07:59.972396361+00:00,2,125,3,123,0.015,7,7,867.1,867.1,True
2026-06-03T10:13:42.120695370+00:00,2,372,1,384,0.09,7,7,867.9,867.9,True
2026-06-03T11:43:04.870210428+00:00,1,731,2,709,0.053,7,7,867.7,867.7,True
2026-06-03T12:04:39.387970031+00:00,3,767,1,815,0.087,7,7,867.7,867.7,True
2026-06-03T13:17:16.335147247+00:00,1,1097,3,1032,0.082,7,7,868.1,868.1,True
2026-06-03T13:59:49.177652932+00:00,1,1262,4,1156,0.082,7,7,867.5,867.5,True
2026-06-03T14:02:37.546603403+00:00,3,1197,4,1166,0.055,7,7,868.1,868.1,True
