node_id,dev_eui,n_sessions,sf,bw_khz,toa_teorico_ms,transacao_real_avg_ms,tx_total,rx_total,collisions,pdr_%,collision_rate_%,dl_pdr_%,rssi_mean_dBm,snr_mean_dB,link_margin_mean_dB
1,9e70e30d570f93f5,1,7,125.0,97.536,97.0,1404,1323,81,94.23,5.77,0.0,-49.9,13.05,70.1
2,788410651972aca8,1,7,125.0,97.536,97.0,1362,1290,72,94.71,5.29,0.0,-56.47,13.14,63.53
3,dc63358a5a95d62f,1,7,125.0,97.536,97.0,1320,1254,66,95.0,5.0,0.0,-48.28,12.98,71.72
4,1573451f0dff21d1,1,7,125.0,97.536,97.0,1286,1246,40,96.89,3.11,0.0,-51.44,13.07,68.56
