node_id,dev_eui,n_samples,offset_base_ms,offset_mean_ms,offset_std_ms,residual_std_ms,drift_ppm,drift_ms_per_hour
1,9e70e30d570f93f5,1323,1780475665203.5,1780475665273.0,99.61,80.05,9.5,34.22
2,788410651972aca8,1290,1780475654665.3,1780475654723.2,90.38,75.72,7.92,28.49
3,dc63358a5a95d62f,1254,1780475642700.0,1780475642754.5,92.55,79.48,7.53,27.12
4,1573451f0dff21d1,1246,1780475621828.3,1780475621873.5,89.39,80.52,6.2,22.33
