node_id,dev_eui,n_samples,offset_base_ms,offset_mean_ms,offset_std_ms,residual_std_ms,drift_ppm,drift_ms_per_hour
1,9e70e30d570f93f5,731,1780411815040.4,1780411815061.7,95.32,90.66,8.37,30.12
2,788410651972aca8,744,1780411805477.3,1780411805494.9,100.51,97.54,6.81,24.5
3,dc63358a5a95d62f,694,1780411789107.9,1780411789125.1,95.74,92.8,6.62,23.82
4,1573451f0dff21d1,706,1780411775534.3,1780411775545.9,102.99,101.69,4.61,16.6
