node_id;dev_eui;n_sessions;sf;bw_khz;toa_teorico_ms;transacao_real_avg_ms;tx_total;rx_total;collisions;pdr_%;collision_rate_%;dl_pdr_%;rssi_mean_dBm;snr_mean_dB;link_margin_mean_dB
1;9e70e30d570f93f5;1;7;125.0;97.536;97.0;793;731;62;92.18;7.82;0.0;-56.94;13.01;63.06
2;788410651972aca8;1;7;125.0;97.536;97.0;772;744;27;96.37;3.5;0.0;-51.38;12.95;68.62
3;dc63358a5a95d62f;1;7;125.0;97.536;97.0;747;694;53;92.9;7.1;0.0;-57.95;12.96;62.05
4;1573451f0dff21d1;1;7;125.0;97.536;97.0;728;706;22;96.98;3.02;0.0;-50.87;12.95;69.13
